always ad.总是，一直；永远
ability n.能力；能耐，本领
able a.有能力的；出色的
abnormal	a.不正常的；变态的
aboard ad.在船(车)上；上船
about prep.关于；在…周围
above prep.在…上面；高于
abroad ad.(在)国外；到处
absence n.缺席，不在场；缺乏
absent a.不在场的；缺乏的
absolute a.绝对的；纯粹的
absolutely ad.完全地；绝对地
absorb vt.吸收；使专心
abstract a.抽象的 n.摘要
abundant	a.丰富的；大量的
abuse vt.滥用；虐待 n.滥用
academic	a.学院的；学术的
academy	n.私立中学；专科院校
accelerate  vt.(使)加快；促进
acceleration n.加速；加速度
accent n.口音，腔调；重音
accept vt.vi.接受；同意
acceptable a.可接受的，合意的
acceptance n.接受，验收；承认
access n.接近；通道，入口
accessory	n.同谋，从犯；附件
accident n.意外的；事故
accidental	 a.偶然的；非本质的
accommodate vt.容纳；供应，供给
accommodation n.招待设备；预定铺位
accompany vt.陪伴，陪同；伴随
accomplish vt.达到(目的)；完成
