Vivado Simulator 2020.2
Time resolution is 1 ps
 Block Memory Generator module loading initial data...
 Block Memory Generator data initialization complete.
Block Memory Generator module SA4_CACHE_tb.SA4_CACHE_test.ram_ip_test.inst.\native_mem_module.blk_mem_gen_v8_4_4_inst  is using a behavioral model for simulation which will not precisely model memory collision behavior.
blk_mem_gen_v8_4_4 collision detected at time: 30000, Instance: SA4_CACHE_tb.SA4_CACHE_test.ram_ip_test.inst.\native_mem_module.blk_mem_gen_v8_4_4_inst , A write address: 0, B  read address: 0
blk_mem_gen_v8_4_4 collision detected at time: 40000, Instance: SA4_CACHE_tb.SA4_CACHE_test.ram_ip_test.inst.\native_mem_module.blk_mem_gen_v8_4_4_inst , A write address: ffd4, B  read address: ffd4
blk_mem_gen_v8_4_4 collision detected at time: 50000, Instance: SA4_CACHE_tb.SA4_CACHE_test.ram_ip_test.inst.\native_mem_module.blk_mem_gen_v8_4_4_inst , A write address: ffd6, B  read address: ffd6
blk_mem_gen_v8_4_4 collision detected at time: 60000, Instance: SA4_CACHE_tb.SA4_CACHE_test.ram_ip_test.inst.\native_mem_module.blk_mem_gen_v8_4_4_inst , A write address: ffe2, B  read address: ffe2
blk_mem_gen_v8_4_4 collision detected at time: 70000, Instance: SA4_CACHE_tb.SA4_CACHE_test.ram_ip_test.inst.\native_mem_module.blk_mem_gen_v8_4_4_inst , A write address: ffe4, B  read address: ffe4
blk_mem_gen_v8_4_4 collision detected at time: 80000, Instance: SA4_CACHE_tb.SA4_CACHE_test.ram_ip_test.inst.\native_mem_module.blk_mem_gen_v8_4_4_inst , A write address: ffe6, B  read address: ffe6
blk_mem_gen_v8_4_4 collision detected at time: 90000, Instance: SA4_CACHE_tb.SA4_CACHE_test.ram_ip_test.inst.\native_mem_module.blk_mem_gen_v8_4_4_inst , A write address: ffe8, B  read address: ffe8
blk_mem_gen_v8_4_4 collision detected at time: 100000, Instance: SA4_CACHE_tb.SA4_CACHE_test.ram_ip_test.inst.\native_mem_module.blk_mem_gen_v8_4_4_inst , A write address: ffea, B  read address: ffea
blk_mem_gen_v8_4_4 collision detected at time: 110000, Instance: SA4_CACHE_tb.SA4_CACHE_test.ram_ip_test.inst.\native_mem_module.blk_mem_gen_v8_4_4_inst , A write address: ffec, B  read address: ffec
blk_mem_gen_v8_4_4 collision detected at time: 120000, Instance: SA4_CACHE_tb.SA4_CACHE_test.ram_ip_test.inst.\native_mem_module.blk_mem_gen_v8_4_4_inst , A write address: ffee, B  read address: ffee
blk_mem_gen_v8_4_4 collision detected at time: 130000, Instance: SA4_CACHE_tb.SA4_CACHE_test.ram_ip_test.inst.\native_mem_module.blk_mem_gen_v8_4_4_inst , A write address: fff0, B  read address: fff0
blk_mem_gen_v8_4_4 collision detected at time: 140000, Instance: SA4_CACHE_tb.SA4_CACHE_test.ram_ip_test.inst.\native_mem_module.blk_mem_gen_v8_4_4_inst , A write address: fff2, B  read address: fff2
blk_mem_gen_v8_4_4 collision detected at time: 150000, Instance: SA4_CACHE_tb.SA4_CACHE_test.ram_ip_test.inst.\native_mem_module.blk_mem_gen_v8_4_4_inst , A write address: fff4, B  read address: fff4
blk_mem_gen_v8_4_4 collision detected at time: 160000, Instance: SA4_CACHE_tb.SA4_CACHE_test.ram_ip_test.inst.\native_mem_module.blk_mem_gen_v8_4_4_inst , A write address: fff6, B  read address: fff6
blk_mem_gen_v8_4_4 collision detected at time: 170000, Instance: SA4_CACHE_tb.SA4_CACHE_test.ram_ip_test.inst.\native_mem_module.blk_mem_gen_v8_4_4_inst , A write address: fff8, B  read address: fff8
blk_mem_gen_v8_4_4 collision detected at time: 180000, Instance: SA4_CACHE_tb.SA4_CACHE_test.ram_ip_test.inst.\native_mem_module.blk_mem_gen_v8_4_4_inst , A write address: fffa, B  read address: fffa
blk_mem_gen_v8_4_4 collision detected at time: 190000, Instance: SA4_CACHE_tb.SA4_CACHE_test.ram_ip_test.inst.\native_mem_module.blk_mem_gen_v8_4_4_inst , A write address: fffc, B  read address: fffc
blk_mem_gen_v8_4_4 collision detected at time: 200000, Instance: SA4_CACHE_tb.SA4_CACHE_test.ram_ip_test.inst.\native_mem_module.blk_mem_gen_v8_4_4_inst , A write address: fffe, B  read address: fffe
blk_mem_gen_v8_4_4 collision detected at time: 210000, Instance: SA4_CACHE_tb.SA4_CACHE_test.ram_ip_test.inst.\native_mem_module.blk_mem_gen_v8_4_4_inst , A write address: 0, B  read address: 0
blk_mem_gen_v8_4_4 collision detected at time: 220000, Instance: SA4_CACHE_tb.SA4_CACHE_test.ram_ip_test.inst.\native_mem_module.blk_mem_gen_v8_4_4_inst , A write address: 2, B  read address: 2
blk_mem_gen_v8_4_4 collision detected at time: 230000, Instance: SA4_CACHE_tb.SA4_CACHE_test.ram_ip_test.inst.\native_mem_module.blk_mem_gen_v8_4_4_inst , A write address: 4, B  read address: 4
blk_mem_gen_v8_4_4 collision detected at time: 240000, Instance: SA4_CACHE_tb.SA4_CACHE_test.ram_ip_test.inst.\native_mem_module.blk_mem_gen_v8_4_4_inst , A write address: 6, B  read address: 6
blk_mem_gen_v8_4_4 collision detected at time: 250000, Instance: SA4_CACHE_tb.SA4_CACHE_test.ram_ip_test.inst.\native_mem_module.blk_mem_gen_v8_4_4_inst , A write address: 8, B  read address: 8
